Código MP;Nome MP;Volume Anual (kg);Preço Referência (USD);Fornecedor Selecionado;Estado Fornecedor;Homologado;Preço (USD);Custo Projetado (USD);Saving Unitário (USD);Saving Unitário (%);Saving Total (USD);Lote Mínimo (MOQ);Lead Time c/ Estoque;Lead Time s/ Estoque;Status;Ação / Observação;Data Decisão
MP0024;VPQ 108 GL / VIC 108 GL;357,27;9,1500;KHOL QUIMICA;ES;Não - Homologar;9,1500;;;;;25;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;21/03/2026
MP0026;EXTRATO DE ALOE VERA (EXTRATO GLICOLICO DE ALOE VERA);567,44;3,3900;BARUQUIMICA;ES;Não - Homologar;2,1462;;;;;;;8 dias úteis;A HOMOLOGAR;;21/03/2026
MP0027;AMIDA 90;14556,36;2,6300;MAIAN;ES;Não - Homologar;2,0867;;;;;;imediato;30 a 60 dias;A HOMOLOGAR;;21/03/2026
MP0028;MERQUAT PLUS 3330;2021,96;2,3000;CHEMAX;ES;Não - Homologar;2,5000;;;;;60;;30;A HOMOLOGAR;;21/03/2026
MP0030;REWOPOL SB FA 30 B;24013,06;1,2000;AQIA;;Não - Homologar;1,2000;;;;;;;;A HOMOLOGAR;;21/03/2026
MP0031;CARBOPOL AQUA/ RHEOCARE TTA;13504,76;3,3900;KHOL QUIMICA2;ES;Não - Homologar;2,9200;;;;;50;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;21/03/2026
MP0032;HIDROXIDO DE SODIO;194,50;7,7900;KHOL QUIMICA2;SP;Não - Homologar;1,3100;;;;;25;6 DIAS UTEIS;15 DIAS ÚTEIS;A HOMOLOGAR;;21/03/2026
MP0033;COCOAMIDOPROPIL BETAINA;39828,50;1,0100;MAIAN;ES;Não - Homologar;0,8400;;;;;;imediato;20 a 30 dias;A HOMOLOGAR;;21/03/2026
MP0035;QUIKPEARL PK3;4276,38;1,5100;CHEMAX;ES;Não - Homologar;1,1000;;;;;120;2;;A HOMOLOGAR;;21/03/2026
MP0036;D PANTENOL (D PANTENOL 75%);1194,05;8,3000;BARUQUIMICA;SP;Não - Homologar;7,6808;;;;;;;;A HOMOLOGAR;;21/03/2026
MP0040;STERARAMIDO PROPIL DIMETIL AMINA;1080,98;3,0000;INOLEX;ES;Não - Homologar;1,6702;;;;;22.68;70;90;A HOMOLOGAR;;21/03/2026
MP0041;BHT;231,48;4,7400;Oxigen;ES;Não - Homologar;4,5150;;;;;;IMEDIATO;5 DIAS;A HOMOLOGAR;;21/03/2026
MP0002;ACIDO LATICO 85%;6708,67;1,7600;Oxigen;ES;Não - Homologar;1,9160;;;;;;IMEDIATO;5 DIAS;A HOMOLOGAR;;21/03/2026
MP0017;MISTURA DE IZOTIAZOLINONA;540,39;0,9700;FOCUS QUÍMICA;SP;Não - Homologar;0,8200;;;;;25;90;90;A HOMOLOGAR;;21/03/2026
MP0042;ALCOOL CETILICO;1789,01;2,8500;Oxigen;ES;Não - Homologar;3,1790;;;;;;IMEDIATO;5 DIAS;A HOMOLOGAR;;21/03/2026
